Job Title,Company,Location,Salary,Skills,Description
Software Developer - AI Trainer,DataAnnotation,NY,$40.00 Per Hour (Employer est.),"Writing skills, C#, English, SQL, C++","You can work on your own schedule. A bachelor's degree (completed or in progress). You will work with the chatbots that we are building in order to measure…&hellip;
Skills: Writing skills, C#, English, SQL, C++"
Backend Software Engineer - AI Trainer,DataAnnotation,NY,$40.00 Per Hour (Employer est.),"Writing skills, C#, English, SQL, C++","You can work on your own schedule. A bachelor's degree (completed or in progress). You will work with the chatbots that we are building in order to measure…&hellip;
Skills: Writing skills, C#, English, SQL, C++"
"Software Engineer, Full Stack (Bank Tech)",Capital One,NY,Not Provided,"Azure, Go, CSS, Kubernetes, NoSQL","Collaborate with and across Agile teams to design, develop, test, implement, and support technical solutions in full-stack development tools and technologies.&hellip;
Skills: Azure, Go, CSS, Kubernetes, NoSQL"
"Software Engineer, New York",Talos Global,NY,$140K - $200K (Employer est.),"Computer science, Go, C#, Java, C++","We’re looking for engineers eager to take ownership of their work and contribute to the entire development lifecycle—from design and implementation to testing…&hellip;
Skills: Computer science, Go, C#, Java, C++"
"Software Developer, 2025 Leadership Development Program",ION,NY,$75K - $82K (Employer est.),"Product management, Continuous integration, Data science","In the role of Software Developer, you will develop products for our global customers including Tier 1 banks and Fortune 100 corporations.&hellip;
Skills: Product management, Continuous integration, Data science"
"Software Engineer, Frontend, 6+ Years of Experience",Snapchat,NY,$178K - $313K (Employer est.),"Computer science, CSS, React, Kubernetes, System design","BS/BA in a technical field such as computer science or equivalent years of experience. MS degree or equivalent experience in a technical field.&hellip;
Skills: Computer science, CSS, React, Kubernetes, System design"
Cloud Engineer - AI Trainer,DataAnnotation,NY,$40.00 Per Hour (Employer est.),"Writing skills, C#, English, SQL, C++","You can work on your own schedule. A bachelor's degree (completed or in progress). You will work with the chatbots that we are building in order to measure…&hellip;
Skills: Writing skills, C#, English, SQL, C++"
Web Application Engineer - AI Trainer,DataAnnotation,NY,$40.00 Per Hour (Employer est.),"Writing skills, C#, English, SQL, C++","You can work on your own schedule. A bachelor's degree (completed or in progress). You will work with the chatbots that we are building in order to measure…&hellip;
Skills: Writing skills, C#, English, SQL, C++"
Frontend Software Engineer - AI Trainer,DataAnnotation,NY,$40.00 Per Hour (Employer est.),"Writing skills, C#, English, SQL, C++","You can work on your own schedule. A bachelor's degree (completed or in progress). You will work with the chatbots that we are building in order to measure…&hellip;
Skills: Writing skills, C#, English, SQL, C++"
Senior .Net Developer,Troy Web Consulting,NY,$100K - $140K (Employer est.),"CI/CD, ASP.NET, Computer science, Azure, MVC","In this role, you will apply software engineering principles to design, develop, maintain, test, and deploy client software projects while keeping your sights…&hellip;
Skills: CI/CD, ASP.NET, Computer science, Azure, MVC"
